start_x,goal_x,position,height,width,vicon,margin_obstacle_horizontal,margin_obstacle_vertical,margin_knee,res_position,res_width
0.0,7.2,[0.75  1.722 2.3   4.2   4.8  ],[0.1 0.3 0.1 0.2 0.2],[0.1 0.2 0.2 0.2 0.2],[0 1],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[0.75  1.722 2.3   4.2   4.8  ],[0.1 0.3 0.1 0.2 0.2],[0.1 0.2 0.2 0.2 0.2],[0 1],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[0.754 1.722 2.3   4.2   4.8  ],[0.1 0.3 0.1 0.2 0.2],[0.1 0.2 0.2 0.2 0.2],[0 1],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.722 2.3   4.2   4.8  ],[0.3 0.1 0.2 0.2],[0.2 0.2 0.2 0.2],[0],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.72  2.3   3.496 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.72  2.3   3.497 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.723 2.3   3.496 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.722 2.3   3.496 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.722 2.3   3.496 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.722 2.3   3.496 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.722 2.3   3.496 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[1.722 2.3   3.497 4.2   4.8  ],[0.3 0.1 0.1 0.2 0.2],[0.2   0.2   0.104 0.2   0.2  ],[0 2],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
