obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-939.64384806 -722.98769537   53.03004507],[-0.06164849 -0.00663161 -2.44544933],[  -78.7656105 -1153.537027    149.2398443],[-0.07496899  0.01613655 -1.64475917]
[-939.65171746 -722.97896952   53.01958165],[-0.06144914 -0.00653818 -2.44539663],[  -78.74643183 -1153.61583664   149.22111434],[-0.07521782  0.01588753 -1.64441523]
[-939.62903824 -722.99693718   53.02486926],[-0.06138386 -0.00658982 -2.44554686],[  -78.79108394 -1153.56136883   149.29921214],[-0.07525329  0.01651039 -1.64493155]
[-939.63864032 -723.0108307    53.0537085 ],[-0.06212047 -0.00668434 -2.44574874],[  -78.75487225 -1153.56745454   149.24006306],[-0.07492493  0.01597075 -1.64446099]
[-939.6600419  -722.97987967   53.02815059],[-0.06156644 -0.0065751  -2.44561835],[  -78.78540166 -1153.60595265   149.26116498],[-0.0753428   0.01631942 -1.64467667]
[-939.65764173 -722.97736396   53.02757022],[-0.06139554 -0.0060954  -2.44567492],[  -78.78597776 -1153.61518692   149.25585119],[-0.075529    0.01628256 -1.64464674]
[-939.63541338 -722.98405725   53.0456947 ],[-0.06182808 -0.0069381  -2.44533429],[  -78.75703295 -1153.59276796   149.22446812],[-0.07530509  0.01589701 -1.64489015]
[-939.64098786 -722.96673095   53.03584279],[-0.06122392 -0.00652629 -2.44532306],[  -78.77234506 -1153.42811371   149.19693348],[-0.07451424  0.01585849 -1.6456223 ]
[-939.62090792 -723.01588076   53.04490116],[-0.06194361 -0.00662516 -2.44542845],[  -78.79142448 -1153.62552401   149.29281457],[-0.0755504   0.01663882 -1.64459663]
[-939.64810476 -723.01471125   53.0170556 ],[-0.06187242 -0.00664705 -2.44537457],[  -78.7639249  -1153.66507533   149.26889905],[-0.0755645   0.01613638 -1.64433463]
[-939.64880649 -722.99978482   53.07491292],[-0.0617655  -0.00659618 -2.44573618],[  -78.82334159 -1153.0754624    149.06433051],[-0.07278182  0.01542118 -1.64761222]
[-939.61904727 -722.9963487    53.0299073 ],[-0.06170845 -0.0066925  -2.44533495],[  -78.74348328 -1153.63952714   149.22903098],[-0.0752973   0.01596008 -1.6443411 ]
[-939.6439071  -722.98347359   53.05115499],[-0.0613837  -0.00687904 -2.44583531],[  -78.77528742 -1153.54472315   149.25741277],[-0.07488895  0.01628493 -1.64487612]
[-939.6419425  -722.99779381   53.06116009],[-0.06189287 -0.00646357 -2.44513406],[  -78.75147095 -1153.5206606    149.19108727],[-0.0748902   0.01590406 -1.64486343]
[-939.62061301 -722.99915807   53.03163873],[-0.06141458 -0.00666494 -2.44545258],[  -78.80977239 -1153.41767484   149.24672929],[-0.07424504  0.0164186  -1.64545952]
[-939.78158657 -722.87304801   53.18524991],[-0.06125118 -0.00845831 -2.44590772],[  -78.75152616 -1153.5261449    149.21800271],[-0.07464544  0.01579735 -1.64461721]
[-939.65849014 -722.99374379   53.03112542],[-0.06137223 -0.00643733 -2.44580447],[  -78.78904862 -1153.4672501    149.21874797],[-0.07465435  0.01618751 -1.64520515]
[-939.62315654 -723.01521977   53.04545441],[-0.06204133 -0.0071475  -2.44560231],[  -78.77204125 -1153.51682855   149.22597838],[-0.07490723  0.01614993 -1.64500381]
[-939.6635206  -722.97676622   53.0635648 ],[-0.06153607 -0.0066497  -2.44527834],[  -78.78493622 -1153.42155759   149.17325307],[-0.07463263  0.01597111 -1.6457279 ]
[-939.64682019 -722.98984209   53.01602145],[-0.06195082 -0.00642444 -2.44517579],[  -78.77990151 -1153.52940628   149.20312964],[-0.07504258  0.01611251 -1.64531116]
[-939.64341191 -723.00161089   53.0450917 ],[-0.06143094 -0.0065927  -2.44572007],[  -78.78749634 -1153.44320011   149.25273746],[-0.07445783  0.01626987 -1.64536851]
[-939.76302555 -722.90549423   53.18022033],[-0.06156102 -0.00819136 -2.44675477],[  -78.74979292 -1153.4743915    149.1627572 ],[-0.0742956   0.0156215  -1.64505896]
[-939.63717205 -723.02143661   53.0381039 ],[-0.06191469 -0.00667472 -2.44579929],[  -78.75640484 -1153.56763192   149.21914979],[-0.07490149  0.01602461 -1.64466912]
[-939.91302054 -723.0888473    52.82127014],[-6.03098825e-02 -6.78445664e-06 -2.44819649e+00],[  -78.78970905 -1153.55744403   149.24883384],[-0.07496996  0.01632672 -1.64481894]
[-939.76074072 -722.91055527   53.15518419],[-0.06209267 -0.00867571 -2.44515562],[  -78.79339177 -1153.52823483   149.24427219],[-0.07507835  0.01628922 -1.64520932]
[-939.7559747  -722.92857235   53.17093779],[-0.06254976 -0.00884458 -2.44541152],[  -78.78130223 -1153.48305893   149.22503773],[-0.07460877  0.01608398 -1.64516003]
[-939.6637871  -722.99626004   53.01644327],[-0.06180809 -0.00637213 -2.44539273],[  -78.74924212 -1153.59541369   149.22701018],[-0.07511943  0.01605214 -1.64449379]
[-939.6350995  -723.0185689    53.02152561],[-0.0616127  -0.00662414 -2.44568409],[  -78.76715839 -1153.60168873   149.24648063],[-0.07537244  0.01609779 -1.64463844]
[-939.6247027  -722.9953553    53.06580043],[-0.06187179 -0.00670542 -2.44571241],[  -78.76411397 -1153.52245569   149.20331502],[-0.07469847  0.01585226 -1.64479059]
[-939.9150478  -723.07999749   52.82078264],[-6.02873066e-02 -2.01884975e-04 -2.44836126e+00],[  -78.74234355 -1153.60848257   149.23586879],[-0.07504561  0.01602917 -1.64426803]
