start_x,goal_x,position,height,width,vicon,margin_obstacle_horizontal,margin_obstacle_vertical,margin_knee,res_position,res_width
0.0,7.2,[0.805 2.3   4.2   4.8  ],[0.3 0.1 0.2 0.2],[0.201 0.2   0.2   0.2  ],[0],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[0.806 2.3   4.2   4.8  ],[0.3 0.1 0.2 0.2],[0.201 0.2   0.2   0.2  ],[0],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   2.931 4.2   4.8  ],[0.1 0.3 0.2 0.2],[0.2   0.187 0.2   0.2  ],[1],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   2.933 4.2   4.8  ],[0.1 0.3 0.2 0.2],[0.2   0.201 0.2   0.2  ],[1],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   2.935 4.2   4.8  ],[0.1 0.3 0.2 0.2],[0.2   0.201 0.2   0.2  ],[1],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   2.821 4.2   4.8  ],[0.1 0.3 0.2 0.2],[0.2   0.021 0.2   0.2  ],[1],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   4.2   4.8   5.943],[0.1 0.2 0.2 0.3],[0.2   0.2   0.2   0.101],[3],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   4.2   4.8   5.943],[0.1 0.2 0.2 0.3],[0.2   0.2   0.2   0.101],[3],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   4.2   4.8   5.943],[0.1 0.2 0.2 0.3],[0.2   0.2   0.2   0.101],[3],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3   4.2   4.8   5.943],[0.1 0.2 0.2 0.3],[0.2   0.2   0.2   0.101],[3],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
