x_start,z_start,obstacles,areas,t,v,theta,setup_time,solve_time,mppc_time
-0.009768443260355605,0,[0],[],[0.33897453 0.40524859 0.55920921 0.33897453 0.33897453],[1.5        2.61313912 1.89150615 1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401 1.13446401],0.0163724422454834,0.03646254539489746,0.11694884300231934
0.30081327820120046,0,[0],[],[0.40553779 0.64605286 0.58009704],[2.6138479  2.35823925 2.57657799],[1.13446401 1.13446401 1.13446401],0.006059408187866211,0.0065119266510009766,0.013213634490966797
1.074834937963217,0,[0],[0],[0.42673273 0.405377   0.39845169 0.45854567 0.405377  ],[1.79689721 1.79689721 2.04287047 1.7927083  1.79689721],[1.23718846 1.13446401 1.13446401 1.13543487 1.13446401],0.017388582229614258,0.009647369384765625,0.07462024688720703
1.4684717094616315,0,[0],[0 1],[0.33897453 0.47197696 0.6460922  0.33897453],[1.5        2.32806156 2.7        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.011427164077758789,0.03717517852783203,0.09362983703613281
1.7951133325788284,0,[0 1],[0 1],[0.40150697 0.37877492 0.4203451  0.58812075 0.33897453],[2.05441558 1.5        2.38874814 2.04952052 1.5       ],[1.13446401 1.40881696 1.13446401 1.13446401 1.13446401],0.03205418586730957,0.07562899589538574,0.22207331657409668
2.2235212922340635,0.1,[0 1],[1],[0.51092785 0.71208093 0.41838313],[2.7        2.7        1.85499817],[1.13446401 1.13446401 1.13446401],0.011332511901855469,0.023532867431640625,0.03572392463684082
2.8950608282436168,0.3,[1 2],[],[0.7071628  0.35974051 0.60269918],[2.67485228 2.20633353 2.31120286],[1.13446401 1.13446401 1.13446401],0.011019468307495117,0.023659229278564453,0.03554272651672363
3.6497982287896398,0,[2 3],[2],[0.37456346 0.37745351 0.4641059  0.50174397 0.41356816],[1.5        2.25674916 2.05915235 1.78729845 1.83349037],[1.36152557 1.13446401 1.13446401 1.13446401 1.13446401],0.031331777572631836,0.07601785659790039,0.21361351013183594
3.825413761519815,0,[1 2],[2],[0.37762044 0.66651003 0.620673  ],[2.24493312 2.63068604 2.69912526],[1.14416656 1.13446401 1.178162  ],0.011289119720458984,0.021197080612182617,0.03333926200866699
4.255831060131132,0.2,[1 2 3],[2],[0.47608923 0.68053247 0.33897453 0.33897453],[2.11263691 2.7        1.5        1.5       ],[1.13446401 1.13446401 1.13446401 1.13446401],0.01970839500427246,0.03209328651428223,0.07030153274536133
4.826809120966432,0.2,[2 3],[],[0.61757694 0.60778023 0.46599018],[2.38634772 2.7        2.0675629 ],[1.13446401 1.13446401 1.13446401],0.010951757431030273,0.011352062225341797,0.02310347557067871
5.616726812225395,0,[3],[],[0.62723317 0.51202008 0.33897453],[2.7        2.27296127 1.5       ],[1.20121768 1.13446401 1.13446401],0.006362438201904297,0.013658523559570312,0.020691394805908203
6.307809100382097,0,[],[],[0.43455699 0.43455699],[1.92723149 1.92723149],[1.13446401 1.13446401],0.00069427490234375,0.0003323554992675781,0.0014405250549316406
6.825383701262508,0,[],[],[0.3883733],[1.72091603],[1.13446401],0.0005154609680175781,0.0002758502960205078,0.0011894702911376953
