obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-1860.30617138  2493.23704088   782.15637737],[-0.01387996 -0.09220262 -1.88811384],[-894.98286958 -754.30724201  151.2266266 ],[ 0.02052736 -0.02904453  0.61045069]
[-1860.31631267  2493.22521078   782.12933867],[-0.01348345 -0.09246669 -1.88810794],[-894.98759788 -754.31618034  151.20829554],[ 0.02039439 -0.02908924  0.61023325]
[-1860.32456439  2493.19146233   782.11305463],[-0.01319482 -0.09249303 -1.88846145],[-895.00551951 -754.45295379  151.18997524],[ 0.01935394 -0.02909094  0.61099625]
[-1860.33803336  2493.14305556   782.1306207 ],[-0.01574198 -0.09132091 -1.88940481],[-895.0579881  -754.43747747  151.21115596],[ 0.01954409 -0.02873337  0.61103083]
[-1860.32132596  2493.1862196    782.14200418],[-0.01416912 -0.091546   -1.8884432 ],[-894.986794   -754.45238681  151.22964509],[ 0.01942782 -0.02925623  0.61122708]
[-1860.33951392  2493.21579195   782.1411266 ],[-0.0136269  -0.09169287 -1.88824533],[-894.97720569 -754.44241752  151.20663757],[ 0.01960607 -0.02918947  0.61085227]
[-1860.42936329  2493.2189769    782.14765571],[-0.01296453 -0.09256797 -1.88937921],[-895.01292547 -754.45425933  151.15167718],[ 0.01932999 -0.02881096  0.61117144]
[-1860.33567104  2493.15938521   781.98353886],[-0.01224243 -0.09119983 -1.88908595],[-895.04117286 -754.46899265  151.17676551],[ 0.01909351 -0.02880107  0.61120557]
[-1860.35027851  2493.16684746   782.05927566],[-0.01205279 -0.09217903 -1.88898376],[-895.0124481  -754.41756432  151.21659673],[ 0.01964011 -0.02902366  0.61083779]
[-1860.32662427  2493.293849     782.12692845],[-0.0122321  -0.09056179 -1.88741905],[-894.99696992 -754.29976161  151.2753753 ],[ 0.02070434 -0.02914125  0.61004014]
[-1860.30610943  2493.1512237    781.85935655],[-0.00945111 -0.08796739 -1.88818476],[-894.99272809 -754.45979962  151.18642849],[ 0.01961958 -0.02918407  0.61122729]
[-1860.30354166  2493.21681608   782.14411788],[-0.01450571 -0.09197426 -1.88805951],[-895.68862238 -755.36783082  151.21538632],[ 0.01255847 -0.02281608  0.61479782]
[-1860.35498912  2493.20880034   782.15434549],[-0.01452233 -0.09305074 -1.88865724],[-895.68343513 -755.37060036  151.22895402],[ 0.01268407 -0.02276593  0.61467914]
[-1860.35883288  2493.24537273   782.26059923],[-0.01515812 -0.09400225 -1.88837786],[-895.66763101 -755.35785089  151.2547169 ],[ 0.01255313 -0.02291145  0.61474434]
[-1860.34180771  2493.22426944   782.21093229],[-0.01501083 -0.09288963 -1.88881346],[-895.69429019 -755.36479953  151.27294001],[ 0.0125162  -0.02281808  0.61471853]
[-1860.29710476  2493.21335954   781.87893533],[-0.00764514 -0.08842792 -1.88694097],[-895.67953809 -755.3596517   151.24414234],[ 0.01250832 -0.02294093  0.61479953]
[-1860.35530185  2493.19297311   782.24939843],[-0.01541365 -0.09342101 -1.88929181],[-895.68920775 -755.39787994  151.22865653],[ 0.01226427 -0.02272029  0.6148277 ]
[-1860.37137563  2493.14648548   782.10242801],[-0.01473968 -0.09175652 -1.88983977],[-895.69250707 -755.36868506  151.2324138 ],[ 0.01247895 -0.0228831   0.6148695 ]
[-1860.36605834  2493.17404342   782.04530965],[-0.0143506  -0.09077117 -1.88953605],[-895.69581473 -755.33816923  151.23359538],[ 0.01288223 -0.02288743  0.61457389]
[-1860.32376026  2493.22284024   782.19060759],[-0.01446427 -0.0927871  -1.88814707],[-895.70934418 -755.34929871  151.28687889],[ 0.01252605 -0.02248899  0.61465996]
[-1862.24667002  2494.11871267   783.18249928],[-0.01762876 -0.01924688 -1.88945557],[-895.65423374 -755.36573324  151.27572719],[ 0.01245219 -0.0229395   0.61477896]
[-1861.89375588  2493.8253301    782.85501166],[-0.01370163 -0.03122026 -1.88772915],[-895.70224843 -755.36682684  151.23705694],[ 0.01246921 -0.02281189  0.6146014 ]
[-1861.88030457  2493.80571792   782.852022  ],[-0.01420699 -0.03164097 -1.88782046],[-895.69023687 -755.37370143  151.22818386],[ 0.01257292 -0.02293579  0.61500758]
[-1861.93358588  2493.84964688   782.91151765],[-0.01432897 -0.03247838 -1.88813402],[-895.0143004  -754.40520942  151.1807921 ],[ 0.01985634 -0.02903477  0.61075712]
[-1862.53120212  2494.23952639   783.03248605],[-0.01308733 -0.01572281 -1.89149595],[-895.00902139 -754.42198225  151.17864523],[ 0.0195106  -0.02911237  0.61075456]
[-1969.44277003  2573.51054947   877.12487476],[ 0.03085651 -0.01942369 -1.8424743 ],[-894.96732159 -754.45020493  151.20676808],[ 0.0195394  -0.02936123  0.61100732]
[-1859.4420436   2493.45736727   782.35469955],[-0.00387123 -0.11526931 -1.8877354 ],[-895.01006851 -754.33352488  151.26640136],[ 0.0203892  -0.0288827   0.61028732]
[-1859.90025096  2493.091456     782.53801737],[-0.0107323  -0.10686306 -1.88565539],[-895.03810056 -754.29215801  151.26317927],[ 0.02076215 -0.02876041  0.61025207]
[-1860.35176457  2493.17533801   782.06213508],[-0.01333448 -0.09150024 -1.88884092],[-895.01477081 -754.4811452   151.17845992],[ 0.01922505 -0.02918306  0.61122849]
[-1860.40250535  2493.19216017   782.17158782],[-0.01421266 -0.09322402 -1.8896765 ],[-895.01307479 -754.42341899  151.19617724],[ 0.01938483 -0.02906128  0.61105733]
[-1860.31437144  2493.20941026   781.8914744 ],[-0.00835387 -0.08911193 -1.88740929],[-895.01346174 -754.43230983  151.18985545],[ 0.01945002 -0.02908873  0.61086719]
[-1860.33049131  2493.18296129   782.20426325],[-0.01433121 -0.09333727 -1.88868225],[-895.02178533 -754.46257835  151.1892867 ],[ 0.01944625 -0.02885628  0.61118319]
[-1860.35510491  2493.15581951   782.16743598],[-0.01511642 -0.09190736 -1.88973587],[-895.01807058 -754.44472201  151.22159689],[ 0.0196863  -0.02898862  0.61085783]
