start_x,goal_x,position,height,width,vicon,margin_obstacle_horizontal,margin_obstacle_vertical,margin_knee,res_position,res_width
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
0.0,7.2,[2.3 4.2 4.8],[0.1 0.2 0.2],[0.2 0.2 0.2],[],0.03,0.05,0.03,[2.  2.6 4.5],[0.4 0.4 0.4]
