start_x,goal_x,position,height,width,vicon,margin_obstacle_horizontal,margin_obstacle_vertical,margin_knee,res_position,res_width
0.0,14.4,[ 0.842  2.3    4.2    4.8    9.5   11.4   12.   ],[0.1 0.1 0.2 0.2 0.1 0.2 0.2],[0.1 0.2 0.2 0.2 0.2 0.2 0.2],[0],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 0.842  2.3    4.2    4.8    9.5   11.4   12.   ],[0.1 0.1 0.2 0.2 0.1 0.2 0.2],[0.1 0.2 0.2 0.2 0.2 0.2 0.2],[0],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 0.842  2.3    4.2    4.8    9.5   11.4   12.   ],[0.1 0.1 0.2 0.2 0.1 0.2 0.2],[0.1 0.2 0.2 0.2 0.2 0.2 0.2],[0],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.042  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.042  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.385  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.495  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2   0.2   0.2   0.097 0.2   0.2   0.2  ],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3  4.2  4.8  9.5 11.4 12. ],[0.1 0.2 0.2 0.1 0.2 0.2],[0.2 0.2 0.2 0.2 0.2 0.2],[],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3  4.2  4.8 8.494 9.5 11.4 12. ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.   ],[0.1 0.2 0.2 0.1 0.1 0.2 0.2],[0.2 0.2 0.2 0.1 0.2 0.2 0.2],[3],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.    13.419],[0.1 0.2 0.2 0.1 0.1 0.2 0.2 0.3],[0.2   0.2   0.2   0.1   0.2   0.2   0.2   0.201],[3 7],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.    13.419],[0.1 0.2 0.2 0.1 0.1 0.2 0.2 0.3],[0.2 0.2 0.2 0.1 0.2 0.2 0.2 0.2],[3 7],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    9.5   11.4   12.    13.419],[0.1 0.2 0.2 0.1 0.2 0.2 0.3],[0.2 0.2 0.2 0.2 0.2 0.2 0.2],[6],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.    13.422],[0.1 0.2 0.2 0.1 0.1 0.2 0.2 0.3],[0.2   0.2   0.2   0.1   0.2   0.2   0.2   0.201],[3 7],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
0.0,14.4,[ 2.3    4.2    4.8    8.494  9.5   11.4   12.    13.419],[0.1 0.2 0.2 0.1 0.1 0.2 0.2 0.3],[0.2 0.2 0.2 0.1 0.2 0.2 0.2 0.2],[3 7],0.03,0.05,0.03,[ 2.   2.6  4.5  9.2  9.8 11.7],[0.4 0.4 0.4 0.4 0.4 0.4]
