obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-873.19909746 -786.2437302    23.33304661],[ 0.00613064 -0.02163413 -0.90312432],[-1958.8577906   1850.0903117    823.98181358],[ 0.02858035 -0.01407661  0.60343967]
[-873.1902579  -786.25451604   23.35423961],[ 0.00666765 -0.02118152 -0.90325047],[-1958.81168152  1850.03353411   823.90278171],[ 0.0286727  -0.01409533  0.60357217]
[-873.18109653 -786.23536365   23.38709258],[ 0.00672616 -0.0214805  -0.90331671],[-1958.86070198  1850.05951527   823.92583814],[ 0.02870965 -0.01409971  0.60316872]
[-873.15423133 -786.27441638   23.37250261],[ 0.00643093 -0.02141873 -0.90327944],[-1958.84504547  1850.06000105   823.91496681],[ 0.02872697 -0.01415729  0.60327531]
[-873.17667982 -786.27005482   23.35395433],[ 0.00674145 -0.02133157 -0.90362632],[-1958.70554461  1849.90741649   823.69178322],[ 0.02922511 -0.01525734  0.60449828]
[-873.15776871 -786.2726698    23.37844895],[ 0.00686351 -0.02149177 -0.90318778],[-1958.83169753  1850.10133886   823.95420054],[ 0.02856795 -0.01420546  0.6034697 ]
[-873.16596159 -786.23502602   23.3980705 ],[ 0.00767307 -0.02176786 -0.90363438],[-1958.83920943  1850.0607359    823.93043044],[ 0.02859342 -0.01413397  0.60339076]
[-873.18285495 -786.26618156   23.34999634],[ 0.0060958  -0.02098081 -0.90284943],[-1958.84982966  1850.07986964   823.96607724],[ 0.02857509 -0.01433176  0.60328465]
[-873.15600296 -786.25058984   23.38207359],[ 0.00750261 -0.02186138 -0.9036407 ],[-1958.85165715  1850.10561996   824.01236469],[ 0.02844189 -0.01420795  0.60337426]
[-873.18343309 -786.26147204   23.36202192],[ 0.00586686 -0.02096626 -0.90253494],[-1958.82532972  1850.0741924    823.92073328],[ 0.02875785 -0.01406325  0.60335601]
[-873.16250298 -786.25524743   23.3721995 ],[ 0.00743856 -0.02143124 -0.90347361],[-1958.83280338  1850.05471487   823.88570004],[ 0.02870705 -0.01418696  0.6031683 ]
[-873.23811961 -786.25397239   23.30505864],[ 0.00575379 -0.02317453 -0.90289788],[-1958.85720469  1850.0778369    823.98114752],[ 0.02836233 -0.01419031  0.60329122]
[-873.15017951 -786.27956034   23.38303308],[ 0.00687986 -0.02128123 -0.90363606],[-1958.83954592  1850.09910892   823.98330266],[ 0.02844931 -0.01413282  0.60341224]
[-873.18071485 -786.26631525   23.36791792],[ 0.00700454 -0.02166576 -0.90342519],[-1958.83943028  1850.03457657   823.9557747 ],[ 0.02832359 -0.01411394  0.60371575]
[-873.14155312 -786.27862576   23.40911321],[ 0.0074174  -0.02154351 -0.90355745],[-1958.86256587  1850.08762478   823.96536702],[ 0.02862277 -0.01419342  0.60320354]
[-873.15717778 -786.26433739   23.36503584],[ 0.00667721 -0.02194035 -0.90332429],[-1958.84587764  1850.07040119   824.00907156],[ 0.02936293 -0.01448373  0.60426534]
[-873.1938958  -786.2628576    23.32154637],[ 0.00598192 -0.02061296 -0.90278654],[-1958.86316064  1850.07267402   823.96930749],[ 0.02862013 -0.0140638   0.60352097]
[-873.17981256 -786.24675844   23.35211721],[ 0.00721787 -0.02124246 -0.90337671],[-1958.87589459  1850.06432309   824.01080997],[ 0.02818675 -0.01401032  0.6034433 ]
[-873.19728172 -786.2378659    23.36984746],[ 0.00680725 -0.02072173 -0.90329101],[-1958.87770038  1850.10195926   823.97136816],[ 0.02848565 -0.01430571  0.60280856]
[-873.17889238 -786.24388048   23.37391463],[ 0.00718171 -0.02147764 -0.90341969],[-1958.87971516  1850.10238227   823.95772368],[ 0.02868297 -0.01430395  0.60302818]
[-873.16194092 -786.25628556   23.38596075],[ 0.0073052  -0.02158642 -0.90345929],[-1958.88198961  1850.15321297   823.99037631],[ 0.02884496 -0.01440882  0.60299909]
[-873.19432531 -786.23486643   23.37040064],[ 0.00631456 -0.02134123 -0.90332185],[-1958.8537716   1850.09148567   823.95709808],[ 0.02857004 -0.01421108  0.6033254 ]
[-873.18126199 -786.26092876   23.32671558],[ 0.00655399 -0.02105298 -0.90315781],[-1958.83939671  1850.07620801   823.91928018],[ 0.02857879 -0.01425094  0.60312953]
[-873.15787052 -786.24488927   23.40041456],[ 0.00718216 -0.02110101 -0.90355995],[-1958.83378628  1850.04589112   823.92981907],[ 0.02852567 -0.01430858  0.60333025]
[-873.20288416 -786.22632444   23.34371673],[ 0.00615895 -0.02125968 -0.90271281],[-1958.83602477  1850.03338694   823.94378653],[ 0.02841596 -0.01416059  0.60345798]
[-873.17028174 -786.24061463   23.34743723],[ 0.00691956 -0.02069801 -0.90290621],[-1958.87762666  1850.13795242   824.03413979],[ 0.02852108 -0.01438356  0.60314734]
[-873.15981423 -786.27380913   23.39022473],[ 0.00739798 -0.02137979 -0.90374367],[-1958.83842226  1850.08343073   823.94793507],[ 0.02853855 -0.01415035  0.60354199]
[-873.1826433  -786.23641194   23.38757621],[ 0.00719753 -0.02205117 -0.90348658],[-1958.88605021  1850.08736      823.92039535],[ 0.02864564 -0.01408661  0.6027797 ]
[-873.16725471 -786.27265055   23.34285974],[ 0.0058994  -0.02061105 -0.90294724],[-1958.86690051  1850.13387003   824.05120485],[ 0.02848285 -0.01425546  0.60356816]
[-873.17965147 -786.26948481   23.35187725],[ 0.00655848 -0.02123666 -0.90314307],[-1958.82568346  1850.06045742   823.94246138],[ 0.02857494 -0.01425565  0.6035851 ]
[-873.14460458 -786.26716947   23.39120588],[ 0.00793255 -0.02136067 -0.90424064],[-1958.86627868  1850.11149381   824.02173289],[ 0.02869339 -0.0143884   0.60332338]
[-873.1657654  -786.28349363   23.37277577],[ 0.00661146 -0.02128565 -0.90355723],[-1958.85031171  1850.09513837   823.97178158],[ 0.02849772 -0.01419131  0.60336738]
[-873.16068997 -786.23079701   23.40628521],[ 0.00758186 -0.02159131 -0.90359162],[-1958.86393908  1850.07415055   823.95308505],[ 0.0284994  -0.01405985  0.60318923]
[-873.17192699 -786.23327986   23.36521004],[ 0.00702931 -0.02107746 -0.90314173],[-1958.84167437  1850.05544471   823.92715407],[ 0.02860686 -0.01403073  0.60329076]
[-873.17903906 -786.25998749   23.36219158],[ 0.00658951 -0.02157337 -0.90314073],[-1958.85817663  1850.08970584   823.93962358],[ 0.02885848 -0.01414127  0.60329483]
[-873.15019053 -786.25901294   23.37693429],[ 0.00743454 -0.02145631 -0.90335428],[-1958.85862239  1850.07806997   823.9532647 ],[ 0.02848913 -0.01404279  0.60337024]
[-873.16816478 -786.26719652   23.37639631],[ 0.00740378 -0.02149178 -0.90393251],[-1958.84616025  1850.09290933   823.93410718],[ 0.0287785  -0.01423033  0.60328618]
[-873.17130514 -786.24258838   23.39557166],[ 0.00695801 -0.02207785 -0.90387478],[-1958.88573327  1850.11372753   824.00225501],[ 0.02864606 -0.01422553  0.60303139]
[-873.15703235 -786.25028384   23.39143902],[ 0.00728462 -0.02154744 -0.90362609],[-1958.8987716   1850.13285968   824.01729562],[ 0.0286508  -0.01428683  0.60294709]
[-873.1864712  -786.23763101   23.3568793 ],[ 0.00758122 -0.02121448 -0.90347524],[-1958.84056478  1850.0625113    823.97649173],[ 0.02837265 -0.01417389  0.60356882]
[-873.13604092 -786.26475058   23.39637675],[ 0.00690405 -0.02105113 -0.90373898],[-1958.66422689  1849.86938437   823.71386561],[ 0.02886885 -0.01499804  0.60498589]
[-873.18277027 -786.25826719   23.36750276],[ 0.00659084 -0.02154208 -0.90315237],[-1958.84476388  1850.0937304    823.97944128],[ 0.02834745 -0.01411474  0.6034488 ]
[-873.15284652 -786.27620124   23.37517391],[ 0.00723466 -0.02159715 -0.90377609],[-1958.83904091  1850.06985618   823.92671119],[ 0.02858154 -0.0140962   0.60342766]
[-873.15580371 -786.26066712   23.38228643],[ 0.00709731 -0.02131651 -0.90357975],[-1958.8404163   1850.10744938   823.93653195],[ 0.02890275 -0.01427822  0.6032819 ]
[-873.15067945 -786.26078319   23.38721202],[ 0.00749517 -0.02157857 -0.90382382],[-1958.81896673  1850.01527354   823.88679169],[ 0.02855258 -0.01402618  0.60351619]
[-873.1646685  -786.2528236    23.36315767],[ 0.00692089 -0.02132629 -0.90324962],[-1958.87594116  1850.06787267   823.94359796],[ 0.02863135 -0.01431986  0.60297768]
[-873.17334965 -786.25496944   23.36440966],[ 0.00659231 -0.0214433  -0.90348158],[-1958.8678947   1850.10372051   824.04916001],[ 0.02842418 -0.01443767  0.60344609]
[-873.1734139  -786.2420254    23.38463367],[ 0.00720811 -0.02141723 -0.90310948],[-1958.86687313  1850.11534788   823.97459527],[ 0.02853045 -0.01411838  0.60303826]
[-873.16848834 -786.23566607   23.38976039],[ 0.00718661 -0.02171317 -0.90359757],[-1958.82469674  1850.05206118   823.96321671],[ 0.02817557 -0.01421846  0.60370523]
[-873.19971627 -786.24340367   23.32586762],[ 0.00610419 -0.02145849 -0.90279161],[-1958.8716302   1850.12170871   824.02910127],[ 0.02835613 -0.01435658  0.60320385]
[-873.22231641 -786.25210082   23.31571307],[ 0.00592822 -0.02081899 -0.90297428],[-1958.84523286  1850.14456339   823.96940815],[ 0.02883124 -0.01432197  0.60344851]
[-873.12602266 -786.27429159   23.40297726],[ 0.00807708 -0.02179354 -0.90423767],[-1958.87632907  1850.10844189   823.99053575],[ 0.02876299 -0.01416846  0.60334137]
[-873.17346142 -786.25465667   23.35078144],[ 0.00635486 -0.0208637  -0.90310589],[-1958.88929006  1850.08002354   823.92935127],[ 0.02871532 -0.01414536  0.60294551]
[-873.16962843 -786.24995957   23.38498353],[ 0.00736572 -0.02148428 -0.90371819],[-1958.84402281  1850.05594516   823.94681681],[ 0.02862815 -0.01428152  0.60332768]
[-873.17739124 -786.26851442   23.35140093],[ 0.00674017 -0.02151041 -0.90315153],[-1958.83940599  1850.0792241    824.00122611],[ 0.0284757  -0.01398532  0.60384166]
[-873.15554988 -786.24179037   23.40196236],[ 0.00813668 -0.02163503 -0.90391788],[-1958.85558027  1850.09541104   823.98572051],[ 0.02866709 -0.01417913  0.60356116]
[-873.15775622 -786.27531308   23.37553242],[ 0.00672221 -0.02147408 -0.90344734],[-1958.90727889  1850.14548069   824.06305816],[ 0.02840069 -0.01427936  0.60312328]
[-873.14981962 -786.28313623   23.37662068],[ 0.00594244 -0.02106613 -0.90328276],[-1958.86277609  1850.09882611   823.929289  ],[ 0.02879377 -0.01427315  0.60315062]
[-873.1779482  -786.23829557   23.39258679],[ 0.00661035 -0.02135967 -0.90339637],[-1958.84538731  1850.14167911   823.97921498],[ 0.02877435 -0.01430937  0.60337434]
[-873.17278711 -786.24734276   23.36990755],[ 0.00674047 -0.02090211 -0.90324477],[-1958.85922173  1850.09928452   824.02153241],[ 0.02843165 -0.0141626   0.60366463]
[-873.17402619 -786.22546084   23.372984  ],[ 0.00706865 -0.02119924 -0.90358047],[-1958.84741469  1850.06110202   823.96112757],[ 0.02853977 -0.01406966  0.60354438]
[-873.17449083 -786.27350077   23.35549584],[ 0.00638783 -0.02142864 -0.90330449],[-1958.84951619  1850.0963499    823.96114969],[ 0.02871062 -0.0143383   0.6032944 ]
[-873.16234414 -786.26330817   23.38887324],[ 0.00649638 -0.02205694 -0.90343181],[-1958.8599611   1850.08849391   823.97397609],[ 0.02842543 -0.01415746  0.6031383 ]
[-873.19367351 -786.26256244   23.34344149],[ 0.00654945 -0.02137481 -0.90306129],[-1958.8436103   1850.07214406   823.96976289],[ 0.02852931 -0.01426455  0.60355219]
[-873.16678686 -786.25219948   23.3857981 ],[ 0.00679157 -0.02172238 -0.90357281],[-1958.87556526  1850.13319375   824.05825868],[ 0.02833009 -0.01428347  0.60345556]
